Question,Subj_Q,Answer,Subj_A
ما نصائحك لطالب سنة أولى في تخصص هندسة أمن المعلومات السيبراني ,0,لا تجعل الجامعة هي المكان الوحيد الذي تتعلم فيه المجالاشتري كورسات و طور مستواك اكثر وبمفردك هذا سيجعلك تحترف المجال قبل ان تنهي دراستك بوقت طويل,1
عندي حساب ياهو قديم مسجل برقم تم إيقافه ولا أتذكر كلمة السر  هل من طريقة لإعادة فتح هذا الحساب  مع العلم أني قد استخدمت هذا الحساب في عمل حسابي الحالي على فيسبوك  فهل من طريقة لتأمين هذا الحساب ,0,حدثت معي قبل سنوات إذ توقفت عن استخدام حسابي في ياهو الذي أنشأته عام ٢٠٠٠م   قمت بمراسلة الدعم الفني في ياهو من ايميل آخر   فاستجابوا لي وسألوني عدة أسئلة أذكر منها  اذكر لنا اسم شخص كنت تراسله دائما  وما هو بريده الإلكتروني   ما هي الدولة التي أنشأت فيها الحساب  ومتى كان ذلك   ما تاريخ الميلاد الذي سجلته عند انشاء الحساب   هل لديك أي ملفات مرفقة مهمة في بريد الصادر   وما هي   والعديد من الأسئلة الأخرى  وفي خاتمة المطاف أرسلوا لي كلمة مرور لفتح الايميل  هناك شيء يجب أن تعرفه وهو أن الأسئلة التي طرحوها على لم تكن دفعة واحدة وانما كانت على مدى ستة أو سبعة أشهر تقريبا  وأنهم كانوا يطرحون سؤالا  واحدا  في كل رسالة وبعد شهر تقريبا  يطرحون سؤالا  آخر وهكذا   يبدو أنهم كانوا يريدون معرفة مدى حرصي على استرداد الايميل   كل المراسلات كانت باللغة الإنجليزية  ,0
ما أفضل تخصص هندسي أو تقني يمكن أن يكون له سوق عمل في كل مكان ,0,فى رأيى الشخصى تخصص البرمجة وخاصة برمجة تطبيقات الويب او برمجة تطبيقات الجوال,0
أعاني من عدم تحميل كورسات موقع يوديمي وكذلك تشغيله  ما الحل ,0,افتح Udemy من المتصفح وليس من التطبيق ويفضل على الكمبيوتر وأستخدم IDM لتحميل الكورسات  سوف تلاحظ فرق كبير في السرعة للمشاهدة والتحميل ,0
انا بدي اتعلم هكر الاخلاقي لكن مشكله وحيده عائق لي هو برمجه شاهدت اكثر من كورسين واحد بايثون وثاني   c وانا اشاهد ما فاهم يكتب عمليه حسابيه او يقول الكومبيوتر هلو بس بدي افهم كيف راح تفيدني في هكر الاخلاقي بدي تعطوني طريق امشي علي وشكرا ,1,اعتذر علي الإجابة مع العلم ما عندي اجابة صريحة لك  لكن يمكنني أن اساعدك في طريق البحث  انصحك بمتابعة صفحة free4arab في الفيس بوك و إذا كان ما عندك فانصحك بالاشتراك في قناتهم باليوتيوب اولا   يجب عليكم تعلم اساسيات الحاسب الالي و ذالك من خلال دراسة  CompTia Aثانيا   دراسة الشبكات من خلال شهادة CompTia Network    CCNA 200 301  HCIA   JNCIA Junos 104  الشهادات هنا كثيرة و متنوعة حسب ال vendors  ثالثا   دراسة الانظمة من خلال الشهادة القديمة MCSA   MCSE   CompTia Linux    Redhat  رابعا   دراسة ال pentest من خلال CEH V10 و اخيرا ستصبح لديك نظرة شاملة في هذا المجال و يمكنك التخصص بعمق و التفننو بالتوفيق ان شاء الله,0
ما هي أفضل مجالات البرمجة التي يمكنني تعلمها بنفسي من الصفر وبها فرص عمل متوفرة وذات دخل عالي بعد تعلمها والعمل بها ,0,شكرا على طلب الإجابة سأذكر لك بعض مجالات البرمجة الأكثر طلبا في سوق العمل  لكن يجب عليك أن تحدد المجال الذي تبدع فيه لأنه يوجد الكثير من المنافسات في هذه المجالات و إبداعك هو الذي يحدد الفارق  بالتوفيق,1
اذا ما كان يمكن القيام ب dos attack على سيرفرات عملاقة فهل يمكن القيام بنفس الشيء على الحواسيب باستعمال عنوان ip و اذا لا يمكن ذلك فلماذا ,0,خدمات حجب الخدمة DoS هي اسم عام يشمل كل هجوم من شأنه تعطيل  خدمة  مقدمة للجمهور  وهذا يشمل كل أنواع الهجوم من أول اقتحام غرفة السيرفرات وقطع الكابلات أوتكسير السيرفرات بالفأس  وصولا لاستخدام آلاف الأجهزة حول العالم للضغط على مقدم الخدمة واشغاله بالطلبات عبر الشبكة لتعطيلها عن العمل  كل هذا يسمى بـهجمات حجب الخدمة DoS  في حالة استخدام أجهزة كثيرة يكون هجوم حجب خدمة موزع DDoS بالتالي يا عزيزي فأولا خدمات DoS هي موجهة  لحجب خدمة   وغالبا  حاسوبك الشخصي لا يقدم خدمة للجمهور ليمكننا حجبها  على أي حال  فغالبا أنت تقصد الهجوم بواسطة طلبات ping  وهذا الهجوم أصبحت احتمالات نجاحه أقل اليوم  لكنه لا يصلح للهجوم على الحواسيب الشخصية لأن حاسوبك الشخصي لا يملك عنوان ip ثابت  هذا مجرد عنوان مؤقت لاتصالك الحالي  وهو يشير لمقدم خدمات انترنت الخاص بك في الحقيقة ولا يشير إلى جهازك بشكل مباشر  بالتالي حتى لو جربت ارسال حزمة ping إليه  وعلى فرض أنه رد  فلن يجيبك الحاسوب الشخصي انما سيجيبك مقدم خدمات انترنت اشارات انترنت التي يمكنها الوصول إلى حاسوبك في الاتصال المنزلي هي فقط اجابات لطلباتك المبدئية  لكن لا يمكن لأي طرف على الشبكة الوصول إليك وبدء الاتصال بك بشكل مباشر دون أن يكون عندك عنوان IP حقيقي وبوابة port مفتوحة وممررة لاستقبال الطلبات من العام في حال ping لن تحتاج إلى port  مع ذلك فيمكنك ضبط السيرفر الخاص بك على تجاهل طلبات ping  وهذا أصبح افتراضيا في ويندوز أيضا ,0
ما هي أساسيات البرمجة ,0,بداية الطريق لتعلم أساسيات البرمجة يبدأ من تعلم لغات البرمجة التي تساعدنا على التواصل مع أجهزة الحاسوب تبدأ ,1
هل يمكنني أن أصبح أفضل مبرمج خوارزميات وبرامج متقدمة في العالم  وإن كان نعم  فكيف الطريق لذلك  لا أريد إجابات مثل  اجتهد وركز  لأني أعلم  بل أريد أن أعرف طريق واضح لذلك ,1,تنتظر خطة سحرية   او جابة عبارة عن افعل ١ ثم ٢ ثم ٣   نجاح  لا يوجد طريق واضح للنجاح و الوصول للعالمية   لكل طريقه   لكل ظروفه و توفيقاته  لكل صدفه التي يضعها الله في طريقه  ربما تجتهد انت و غيرك و تتبعون نفس الخطوات و لديكم نفس المهارات   لكن هو بالصدفة يتعرف عليه أحد كبار المبرمجين في العالم و يتوظف باحدى اهظ الشركات و انت لا  فكر انت بحلول  ضع الابداع و التمييز عنوانك الأساسي و اسع لتطوير نفسك للتطور انت   انت تريد ان تتميز   و تصبح مبتكر مشهور تمام لا يوجد خطة سوى الاجتهاد   تكوين المعارف   انشر انجازاتك   و الأهم ركز على نفسك انت كهدف  بالتوفيق,1
ما هو اللاب توب المناسب لهندسة الحاسبات ,0,اجبت سابقا عن الامر هنا وايضا اجابة مشابه هنا ايضا بالتوفيق ,1
علشان اكون فرونت ايند لازم اكون بفهم في ال ديزاين وتنسيق الالوان ولا المهارة دية بتيجي مع الوقت  ,0,مش شرط خالص فى الشركات المحترمه بيبقي فى واحد ui ux بل فى بعض الشركات الكبيره بيبقي فى حد ui وشخص تانى ux وهذه هي وظيفتهم ولكن انت كا فرونت اند هنشوف تصاميم كتير وانت شغال ودا بيمرن عينك على الاشكال والديزاين والألوان وكمان ممكن تدرب نفس فى انك تشوف ديزاينات كتير كل يوم مثلا دى حاجه اسمها تغذيه بصريه اجتهد فى مجالك وربنا هيكرمك وبعد كدا مفيش مشاكل لو عرفت مكملات المجال بالتوفيق   ,1
هاتفي مخترق  ماذا سيحدث إذا قمت بكسره وتحطيمه  هل سيبقى الهاكر قادر على الوصول إليه وإلى المعلومات التي فيه ,0,لدي سؤال انت اكيد عندك حسابات في مواقع التواصل الاجتماعي  وتقدر تدخل على حسابك من اي جهاز اخر غير هاتفك وتوصل لحساباتك الرقميه بشكل طبيعي وكذلك الهاكر  اعتقد ان تحطيم الهاتف او تكسيره لن يمنع او يوقف الهاكر   ويمكنك البحث عن طريقه للتخلص من الهاكر واكيد ستجد طريق ,1
ما الفرق بين الهندسة المعلوماتية وعلوم الحاسوب وهندسة تكنولوجيا المعلومات ,0, اهلا بك اتمنى ان تقوم بعمل بحث سريع قبل طرح اي سؤال لان هذا سؤال تم الاجابة عليه عديد من مرات هنا  انظر لاجابتي الاتية حتما سوف تكون كافية ,1
برأيك ومن وجهة نظرك المستقبلية اعتمادا  على خبرتك بالتكنولوجيا  ما هي أهم تخصصات التكنولوجيا المطلوبة في العالم بشكل عام والوطن العربي بشكل خاص ,0,الذكاء الاصطناعيالواقع المعزز والافتراضيصناعة وبرمجة الروبوتاتوغيرها الكثير  هذه مطلوبة بشكل عام اما في الوطن العربي لم تتوفر هذه التخصصات بشكل كامل بعد حتى تصبح مطلوبةطبعا لانستثني باقي التخصصات فعالم ,1
كيف يمكنني ترجمة صفحة في Google Chrome على جهاز كمبيوتر ولكني لا أرى زر الترجمة ,0,عن طريق اضافة اداة translate من متجر الاضافات,0
ما هي تقنية Bitb Attack  أو  هجوم المتصفح في المتصفح الأصلي  اتمنى اجابة وافية كاملة فيها التفاصيل بالترتيب وشكرا  ,0,لا ارى داعي لتفصيل في الاجابة و الانترنت مليء بالاجابات المفصلة Surya Singhلدية اجابة جيدة جدا,1
كطالبة لا تعلم سوى أساسيات البرمجة  هل توجد خطة أستطيع اتباعها للبدء بالبرمجة التنافسية ,0,اولا   حتى ااذ لم تكوني طالبة تستطيعين البدءثانيا   البرمجة التنافسية,1
لقد حصلت على حاسوب من نوع Dell بمعالج Intel Core i3 الجيل التاسع  هل يمكنني التعلم من خلاله أم أنه أصبح قديم ولا يمكن استعماله في شيء ,0,بالعكس لا يعتبر قديم أبدا  و بالطبع يفي بالغرض وزيادة للتعلم عليه,1
هل تحديث Windows 10 يؤدي إلى حذف الملفات الموجودة على جهازي ,0,إذا كان من يقوم بالتحديثات هو الويندوز نفسه فلن تخسر ملفاتك حتما  أما إذا قمت بتنصيب ويندوز ذو إصدار أعلى من خلال إقلاع USB مثلا    فهنا يتيح لك برنامج التنصيب إما تنصيب جديد وحذف الملفات أو الإبقاء على الملفات  ,0
ما قصة القناع الشهير المرتبط بالهكر و الذي يضعوه اغلب المخترقين على وجوههم ليصبح رمزا لهم ,1,شكرا على توجيه السؤال  هذا القناع يعود لقصة مصورة منذ الثمانينات  تمثلت القصة شخصية ثورية بريطانية أناركية قديمة  من القرن السابع عشر  في دولة قمعية وعالم ديستوبي  وكان هذا القناع شعارا له  الرواية هي V for Vandetta  وقد تحولت لفيلم لاحقا  المهم أن مجموعة المخترقين anonymous الشهيرة كانت قد تبنت القناع شعارا لها كاعلان عن تمردهم على النظام القائم  وبسبب الإعجاب السري بهم انتشر استخدام القناع بين الهاكرز كرمز على التمرد والعصيان  استخدم القناع أيضا في احتجاجات الشوارع في مصر وغيرها من الدول  أيضا كدلالة على التمرد والعصيان ,1
ما هو    وكيف يمكنني إنشاء منتجي الفني ,0,NFTلنقرب الصورة أكثر  تخيل أن لديك تصميما  أو اتفاقية ملكية أو فكرية لإحدى الأصول الرقمية في أي مجال  وتخيل أنك قمت بعرض هذه الأصول الرقمية للبيع عبر الإنترنت  عند القيام بذلك  يجب عليك حماية الأصول الخاصة بك في هذا الوسيط  لأنه إذا تم التحقق من أن الأصول هي ملك لك  في هذه الحالة ستكون أنت وحدك من يمكنه إدارة المعاملات التي تجريها في ما يتعلق بالمحتوى الرقمي الخاص بك ولا يحق لأحد آخر أن يحصل على جزء أو حصة من المعاملات التي تجريها  خلاف ذلك  قد يتم إنشاء نسخ متعددة من الأصول الخاNFTلنقرب الصورة أكثر  تخيل أن لديك تصميما  أو اتفاقية ملكية أو فكرية لإحدى الأصول الرقمية في أي مجال  وتخيل أنك قمت بعرض هذه الأصول الرقمية للبيع عبر الإنترنت  عند القيام بذلك  يجب عليك حماية الأصول الخاصة بك في هذا الوسيط  لأنه إذا تم التحقق من أن الأصول هي ملك لك  في هذه الحالة ستكون أنت وحدك من يمكنه إدارة المعاملات التي تجريها في ما يتعلق بالمحتوى الرقمي الخاص بك ولا يحق لأحد آخر أن يحصل على جزء أو حصة من المعاملات التي تجريها  خلاف ذلك  قد يتم إنشاء نسخ متعددة من الأصول الخاصة بك وقد يكون من المستحيل التثبت من أن تلك الأصول هي من ضمن ملكيتك   هذه التكنولوجيا الجديدة التي نطلق عليها اسم الرموز غير القابلة للاستبدال توفر لنا الميزة التي ذكرناها آنفا   وهذه الميزة التي ظهرت مؤخرا  انتشرت في جميع أنحاء العالم انشارا  لافتا  وسريع إن عدم قابلية  الاستبدال هو مصطلح اقتصادي يمكن استخدامه لوصف عنصر رقمي تملكه  وهذه العناصر لها خصائص فريدة لأنها تنتمي إلى شخص واحد  وبسبب هذا التفرد لا يمكن استبدال عنصر مع العناصر الأخرى  لذلك يمكننا أن نقول بأن الـ NFT تمنحنا حقوق النشر والملكية الفكرية وتحمي ممتلكاتنا الخاصة بنا في العالم الرقمي من خلال منحنا عقدا  رقميا  خاصا  بنا يمكن امتلاك أصل رقمي أو بيعه من خلال هذه التقنية  حيث يمكنك بيع تطبيق أو لعبة أو صورة أو مقطع صوتي أو مقطع فيديو أو تمل ك كل ذلك بكل سهولة ويسر  لكن معظم  الرموز غير القابلة للاستبدال الآن متعلقة بالفن الرقمي مثل ألبوم هذا القرد الذي يظهر بوضعية واحدة لكن بملابس وملامح مختلفة أو مثل صورة الـ GIF لهذه القطة التي بيعت بنحو 600 ألف دولار أمريكي ويمكن أن تكون تغريدة أيضا  حيث باع  المؤسس والرئيس التنفيذي لتويتر Jack Dorsey إحدى تغريداته بثلاثة ملايين دولار أمريكي جميع الأمثلة التي ذ كرت آنفا  هي محتويات رقمية يمكن التصرف بها من خلال إنشاء مجموعة خاصة بها  كما أنه يمكننا استخدام هذه الأصول في بيئة Metaverse التي ظهرت حديثا  أيضا  حسنا  لنتعرف معا  على كيفية امتلاكنا للأصول الرقمية الخاصة بنا على الإنترنت تتم المعاملات من خلال تقنية Blockchain  لكن على عكس العملات الرقمية لا تمتلك الـ NFT شبكات Blockchain خاصة بها  وتعتبر عملة الايثريوم Ethereumولشراء الأصول الرقمية أو بيعها يتحت  م علينا بداية  إنشاء محفظة  إلكترونية لأن هذه الرموز لا ت شترى إلا بالعملات الرقمية وهناك عدة خيارات متاحة لذلك  وأشهر تلك المحافظ هما محفظتا بعد ذلك سيتحتم عليك التسجيل في إحدى أسواق بيع الأصول الرقمية وشرائها مثل Rarible  Nifty Gateway  SuperRare  يضاف إلى ذلك أشهر هذه الأسواق ألا وهي يعتبر سوق OpenSea سوقا  مفتوح المصدر  حيث يمكن عرض الـ NFT عليه مجانا  من دون تكلفة  ولكن للاستفادة من تلك الخدمة سيتوجب علينا أولا  إيداع مبلغ من المال ويطلق على هذه الرسوم اسم الـ GASولبدء التداول في OpenSea ات بع الخطوات الآتية بعد إنشاء الحساب وتعبئة جميع المعلومات المطلوبة سيصبح بالإمكان جمع الرموز وبيعها أو شراؤها  ويمكن للمستخدمين على هذه المنصة الاطلاع على محتويات الحساب وشراء الرموز أو الأعمال الرقمية الخاصة بك بعد ذلك ختاما  فإن الـ NFT والتجارة الرقمية على العموم آخذتان بالتطور بسرعة كبيرة  والرموز غير القابلة للاستبدال تعطينا فكرة بسيطة عن مدى التقدم والتطور التقني الحاصل في عصر الثورة التكنولوجية عصرنا الحالي   ومن الممكن أن يكون الاستثمار في هذه الرموز فرصة رائعة للفنانين والموهوبين على وجه الخصوص حيث ستعود عليهم بالنفع عندما يعرضون أعمالهم الفريدة في تلك الأسواق المصادرNon Fungible Token  NFT How NFTs Create ValueNon fungible tokens  NFT    ethereum orghttps   cointelegraph com nonfungible tokens for beginners fungible vs nonfungible tokens whatis theWhat Is An NFT  Non Fungible Tokens Explained,0
هل دورة CS50 تعد أفضل الدورات لتعلم أساسيات البرمجة  هل بعد تعلمها سوف أكون أخذت الأساسيات بشكل كامل  وما هي أفضل المصادر لتعلمها ,0,كورس cs50 هو منهج لكل مبتدئ في عالم البرمجة وعلم الحاسوب  حيث أن cs50 كورس سوف يجعلك قادرا على التعامل مع الكمبيوتر وفهم البرمجة بشكل كبير  لذا فأنت لست بحاجة لتعلم أي شيء قبل كورس cs50هو عبارة عن ٩ محاضرات مسجلة بالإضافة إلى ورشات عمل مصورةستعرف في الدورة على مفاهيم مهمة وطريقة شرح رائعة وبسيطةأما الاحتراف يحتاج إلى متابعة في كورسات أكثر تخصصا في المسار البرمجي الذي ستختاره لنفسك,0
ما هي أفضل المصادر العربية المجانية لتعلم أساسيات البرمجة ,0,بسم الله الرحمن الرحيممنشئ المحتوي وصاحب القناه المهندس  اسامه الزيروقناة تعتمد علي الاستفاضه في الشرح والتفاصيل ويوجد يتميز عادل نسيم باسلوب القاء ممتاز ويبسط المعلومات لاقصي حد للقدره علي الاسفاده الكاملهصاحب القناه علي حسن  بيجيب من الاخر  ما شاء الله عليه ودمه خفيف جدا الله يسعدهله اسلوب راقي في الشرح مع الكثير من الامثله التوضيحيه البسيطه ي نصح به للمبتدئينبسم الله الرحمن الرحيممنشئ المحتوي وصاحب القناه المهندس  اسامه الزيروقناة تعتمد علي الاستفاضه في الشرح والتفاصيل ويوجد يتميز عادل نسيم باسلوب القاء ممتاز ويبسط المعلومات لاقصي حد للقدره علي الاسفاده الكاملهصاحب القناه علي حسن  بيجيب من الاخر  ما شاء الله عليه ودمه خفيف جدا الله يسعدهله اسلوب راقي في الشرح مع الكثير من الامثله التوضيحيه البسيطه ي نصح به للمبتدئينقناه متنوعه حول المواضيع الخاصه بالبرمجه وبها بودكاست لاشخاص ناجحين في المجالصاحبها اسلام محفوظ هو مبرمج مصري ويعمل في الخارج في الدول الاوروبيه ينقل خبراته علي القناه وتتميز قناته بشرح لغة البايثونوشكرا لو تذكرت احد اخر ان شاء الله نضيفه,1
ما هي أفضل القنوات للتكنولوجيا وصناعة المحتوى  تصوير  مونتاج  تطبيقات وبرامج  برمجة   وهل تجتمع جميع هذه المواضيع في قناة واحدة ,0,السلام عليكمصراحة  لم اجد قناة يويتوب مستمرة بشكل كبير على هذه ال 5 نقاط ولكن قناة  دروس اونلاين  ل أحمد ابو زيدجدا  ممتازتحتوي على فيديوهات مثل   كورسات فوتوشوب وتقيمات لاستراتيجيات دراسة وتعلم لغات كذالك توجد فيدوهات له يشرح فيها ادوات التصوير وارخص الكمبيوترات وعدة التصوير   وايضا  مصادر تعليم لغة بايثونبختصار   القناة توجد فيها جميع النقط التي ذكرتها في الاعلىوايضا لديك قناة لصديق صاحب دروس اونلايناسمه غريب الشيختخصصه كامل في علم الحاسوب والبرمجة   صراحة  لا اتابعه كثيرا  لكن اظن انه يملك بعض الفيديوهات التي يعرض فيها ادوات التصوير والمونتاجانصحك بشدة ب دروس اونلاين,1
لقد بدأت بتعلم البرمجة وتعلمت لغة   C لكنني الآن مصدوم ولا أعرف كيف يمكنني استخدامها على أرض الواقع  كيف أستفيد منها ,0,لا تقلق  فكل من ي قب ل على تعلم البرمجة يشعر في البداية بما تشعر به الآن دعني أ وض ح لك فكرة لغات البرمجة بصورة مختلفة يمكنك اعتبار لغات البرمجة على أنها مواد بناء عادية  وبإمكان أي شخص أن يمتلكها لكن ليس بمقدور هذا الشخص أن يقوم بإنشاء مبنى متكامل لأنه وبكل بساطة لم يتعلم كيفية استغلال تلك المواد بالشكل الصحيح  وأنت بتعلمك للغة C   ت عتبر ممن امتلكوا إحدى أدوات البناء تلك لكنك لا تعرف إلى الآن كيف ستبني بها مشاريعك انظر لهذا المثال  حاسبة بسيطة  بلغة Java لا تقلق  فكل من ي قب ل على تعلم البرمجة يشعر في البداية بما تشعر به الآن دعني أ وض ح لك فكرة لغات البرمجة بصورة مختلفة يمكنك اعتبار لغات البرمجة على أنها مواد بناء عادية  وبإمكان أي شخص أن يمتلكها لكن ليس بمقدور هذا الشخص أن يقوم بإنشاء مبنى متكامل لأنه وبكل بساطة لم يتعلم كيفية استغلال تلك المواد بالشكل الصحيح  وأنت بتعلمك للغة C   ت عتبر ممن امتلكوا إحدى أدوات البناء تلك لكنك لا تعرف إلى الآن كيف ستبني بها مشاريعك انظر لهذا المثال  حاسبة بسيطة  بلغة Java هناك عدة أدوات تم استخدامها أثناء كتابة هذا البرنامج  بلا شك كطالب مبتدئ ستكون قد فهمت الغرض من جميع الأدوات الأساسية لكنك لا تعرف بالضبط كيف ومتى يجب عليك استخدامها حيث في المثال أعلاه كان بامكاننا استخدام if الشرطية بدل switch  case  وأيضا  استخدام خيار آخر لمعرفة العملية الحسابية التي يقوم المستخدم بادخالها بدل استخدام دالة  0 charAt التي تقرأ الخانة الأولى من النص المدخل  فالموضوع ليس فقط تعلم أدوات البرمجة بل الموضوع هو تعلم طريقة البرمجة ومنطقها  إنها طريقة تفكير وإيجاد حلول مناسبة للمشكلات التي تواجهنا يجب أن تعرف أن الهدف من لغات البرمجة هو إنشاء برامج لتنفيذ مهام محددة لإظهار نتائج متوقعة من خلال ات باع خوارزميات معينة يتم تحديدها مسبقا  ولكي تتعلم كيفية إنشاء البرامج والتطبيقات تعلم الخوارزميات وقم بالبحث عن برامج ومشاريع بسيطة باللغة التي تعل متها  حينها ستفهم الغرض من لغات البرمجة وستتوضح لك الخارطة بشكل أفضل  ولا تتوانى أبدا  عن محاولة تطبيق ما ستشاهده بنفسك  فإتقانك للبرمجة يعتمد بشكل كبير على تنمية منطقك الرياضي وعلى كثرة ممارستك لكتابة الأكواد أعتقد بأنك صع  بت الأمر على نفسك بإختيارك تعل م لغة C   كبداية فهي لغة معقدة نوعا  ما  كان من الممكن أن تتعلم لغة Python فهي تعتبر لغة مناسبة للمبتدئين في البرمجة خصوصا  أن بنيتها سهلة وتتوفر على العديد من المكتبات التي تساعد في تطوير مختلف المشاريع هناك ميزة ستستفيد منها لاحقا  وهي سهولة تعلم باقي اللغات بشكل أسرع عكس ما كان سيكون عليه الحال لو بدأت بـتعلم Python أولا  هوامشFamous Programming Languages   Authors and History   MYCPLUSBasic calculator program using Java,0
يوجد عندي كمبيوتر من نوع آيسر يعمل بنظام ويندوز 11 الجديد  إذا قمت بوضع قفل مؤقت لمدة ساعة أو ساعتين ومن ثم أعود للكمبيوتر أجده مغلق نهائيا  وكأنه إيقاف التشغيل  لماذا حدث ذلك  حاولت حل الاشكالية من الإعدادات ولم أستطيع ذلك ,0,تأكد من إعدادات الطاقة   على الأغلب أن الجهاز يحاول أن ينطفئ تلقائيا  لكن لا يتجاوب بشكل جيد لإكمال العملية ,0
هل اكمل في تعلم c  ولا ابدأ في c   انا خلصت اولي جامعه ودراسنا فيها اساسيات الc  وحاليا عايزه ادرس لغه بbasic وproblem solving وهكذا والكل بيرشح c     اعمل ايه ,0,اتعلمي c   لان c   اشمل لغه فيهم هاتساعدك تفهمي كل جوانب البرمجه يعني لو فهمتيها كويس ممكن تتعلمي اي لغه تانيه بسهوله,1
برأيكم هل ستتراجع قيمة البرمجة بسبب الإقبال الكبير عليها ,0,70  من المقبلين عليها لا يكملون الطريق  فلا ترهق عقلك  ,1
هل تستهلك الأنظمة الوهميه موارد الجهاز حتى بدون تشغيلها ,0,لا  لا تستهلك موارد النظام  المعالج  والرام  موارد الشبكة  ولكنها تشغل مساحة التخزين المطلوبة ,0
أنا لا أعرف كيف أستخدم اللاب توب وأريد أن أتعلم البرمجة  ما الذي يجب أن أتعلمه قبل تعلم البرمجة حول استخدام اللاب توب  وما نوع البرمجة التي أحتاجها كمبتدئ ,0,من رأيي تبدأ تاخد كورس icdl و كورس Cs50 دول هيعلموك أيه هو الكمبيوتر أصلا  وازاي تستخدمهوبعدين تبدأ بأي لغة برمجة في الغالب بيقولوا إن أفضل حاجة تبدأ بيها هي c   لأنك لو اتعلمت الصعب الباقي هيبقى سهل في التعلم بالنسبالكوبالتوفيق إن شاء الله,0
لو تعلمت تطوير الواجهات الأمامية  Front end   كيف أستطيع أن أعمل  يعني أنا بها لن أقدر أن أنشئ موقع كامل  فكيف أحصل على عمل وأنا الخبرة التي أملكها ليست كاملة ,0,عليك بإنشاء مشاريع  تدرب على إنشاء وتعديل  مواقع  واجهات مستخدم  ادوات  قوالب  نماذج اتصال  وغيرها الكثير من تقنيات ال3D والأنيميشن Animation لأكتساب الخبرة المطلوبة لسوق العمل تحتاج الى خبرة من 6 اشهر الى سنة تقريبا   على أقل تقدير ويجب عليك ان تواكب التقنيات الحديثة على قدر المستطاع مرحلة جدا  مهمة انشئ سجل لأعمالك  Portfolio  لعرض اعمالك واهم مرحلة هي   fiver  up work  خمسات  مستقل  Toptal  المهام الشائعة التي تمر فيها کـم طور للواجهات الأمامية ,0
اريد ان اسئل اذا كان بامكاني وضع نظام لينكس على الفلاشة اي عند وضع الفلاشة اصبح استعمل نظام لينكس مع العلم انني لا اريد وضع نظاميين بكمبيوتري اريد فقط ان ادخل الويندوز بشكل طبيعي و ادخل لينكس عند وضع الفلاشة بالكمبيوتر  و شكرا ,0,نعم يمكن تنصيب لينكس على الفلاش بكل سهولةو عند رغبة في استعماله ماعليك الا وضع الفلاش على الجهاز و تشغيل الجهاز او اعادة التشغيل و تختار نظام التشغيل الذي تريد إستعماله و انصحك ان تستعمل فلاش و تخصصه فقط لنظام لينكس و يكون ذو ميساحة تخزين كبيرة نوعا ما و يكون USB 3بالتوفيق ان شاء الله,0
هل يمكنكم إعطائي مشاريع أو تمارين من الأسهل إلى الأصعب بلغة بايثون فقط ,0,يعني بدك مشروع بال بايثون تشتغل عليه يكون صعب  ,1
أريد أن أبدأ بتعلم البرمجة ولكني لا أعرف الفرق بين نظام الماك والويندوز فأنا أريد أن أبرمج تطبيقات  إن شاء الله  للأندرويد  فماذا أستخدم كنظام ,0,أنا بدأت من ويندوز لأنه الأفضل في رأيي  و أنصحك بالبحث علي يوتيوب عن  كيف أتعلم برمجة التطبيقات ,1
كيف أجعل الكمبيوتر أن يدخل للمتصفح ويعمل أكشن معين بالبرمجة ,0,مرحبا  راجع هذه الاجابة ,0
ما هي اساسيات تعلم الامن السيبراني مع العلم اني ادرس شبكات واتصالات في كليه الحاسبات والمعلومات,0,اسلام عليكم  اعتقد بكده انك عندك knowledge ممتازة بل networking و البرمجه مجال الامن السيبراني مجال جميل و ممتع و لكن ليس لديه اساسيات    اجل كما قلت اساسياته هو  ماذا ستتعلم قبل ان تبدأ  لكن من اهم مهراته هي  Network SecurityProgramming and Scripting  Bash  Python  Java  C   or any programming language Block chain Security and basicsCloud computing and SecurityMalware Development and AnalysisThreat ModillingDFIR  Digital forensics and Incident response لقد زكرت بعض من المهرات و ايضا المجلات المهمه جدا  و لكن اساسياته بلمعني الحرفي او متطلبتاه  1   Programming2   Networking3   Operating systeاسلام عليكم  اعتقد بكده انك عندك knowledge ممتازة بل networking و البرمجه مجال الامن السيبراني مجال جميل و ممتع و لكن ليس لديه اساسيات    اجل كما قلت اساسياته هو  ماذا ستتعلم قبل ان تبدأ  لكن من اهم مهراته هي  Network SecurityProgramming and Scripting  Bash  Python  Java  C   or any programming language Block chain Security and basicsCloud computing and SecurityMalware Development and AnalysisThreat ModillingDFIR  Digital forensics and Incident response لقد زكرت بعض من المهرات و ايضا المجلات المهمه جدا  و لكن اساسياته بلمعني الحرفي او متطلبتاه  1   Programming2   Networking3   Operating systemsلا احب الاطاله لكن يمكنك ايضا ان تجري بحث بسيط و سيمكنك ان تفهم كل شئ حقا هذا المجال يجب ان تكون احببته لتستطيع مذاكرته و بلتوفيق ,1
