Question,Q_Annotation,A_Annotation,Final_A_Annotation
أريد كتب تنمية بشرية  فهل يمكن أن تخبروني عن أفضل الكتب في تطوير الذات ,1,ان كتب التنمية الذاتية كثيرة جدا بختلاف المواضيع و الشئ المراد تطويره في ذاتك اقترح اروعها في نظري تنازليا حيث انا أول هو الأفضل تنازليا الي العادي نسبيا1 اربعونملاحظة كتب اربعين لأحمد الشقيري تجد في آخره اربعين كتاب مقترح من الشقير نفسه يعطيك ملخص و تعريف بسيط عنه بحيت تتعرف على وحتواه2  قوة الآن3 الذاكرة الفائقة4 من الصفر الى الواحد  نصح به ايلون ماسك5 المرونة المالية6 مفارقة الوقت7 deep work8 لكل مزاج علاج9 العادة الذرية10  فن ان تكون دائما على حق11  نظرية الفستق12  48 قانونا للقوة13  التفكير السريع و البطيء14  كيف تأثر على الأخرين و تكتسب الأصدقاءو القايمة تطول وهاته كتب دينية نوع ما ولكن ان كتب التنمية الذاتية كثيرة جدا بختلاف المواضيع و الشئ المراد تطويره في ذاتك اقترح اروعها في نظري تنازليا حيث انا أول هو الأفضل تنازليا الي العادي نسبيا1 اربعونملاحظة كتب اربعين لأحمد الشقيري تجد في آخره اربعين كتاب مقترح من الشقير نفسه يعطيك ملخص و تعريف بسيط عنه بحيت تتعرف على وحتواه2  قوة الآن3 الذاكرة الفائقة4 من الصفر الى الواحد  نصح به ايلون ماسك5 المرونة المالية6 مفارقة الوقت7 deep work8 لكل مزاج علاج9 العادة الذرية10  فن ان تكون دائما على حق11  نظرية الفستق12  48 قانونا للقوة13  التفكير السريع و البطيء14  كيف تأثر على الأخرين و تكتسب الأصدقاءو القايمة تطول وهاته كتب دينية نوع ما ولكن لما لا فقد تطور علاقتك مع الخالق و تعبده عن علمك و ادراك اكثر وهو القائل  هل يستوي الدين يعلمون و الدين لا يعلمون 1  لأنك الله2 بوصلة القرآن4 هدي السيرة النبوية3 فاتتني صلاة4  حتى الملائكة تسأل5  رسائل من القرآن اريد ان اعرض هدا الجزء الثاني حيت اقتصر على الكتب التي تعلم طرق التعامل مع المال لأقلية مداخل الفرد عن كيفية التعامل مع المال في معضم الوطن العربي1 الأب العني و الأب الفقير2  أغنى رجل في بابل3 اعمل اربع ساعات في الأسبوع4  اسرق كفنان  ختاما عش حب مطالعة الكتب فيه تنير درب محبها في الدنيا و الأخرة   حض موفق و انا من الداعمين و ان احتجتني تجني ها هنا,1
كيف أتخلص من أعراض نوبة الهلع ,0,لاتوجد طريقة سهله ومباشرة للتخلص من هذه النوباتلكن افضل حل هو اقناع نفسك ان ما يحدث هو مجرد نوبه وستمر بسلام  بهذه الطريقه ستكون النوبه قصيره جدا  وتأثيرها قليل وتختفي مع الوقت ان شاء الله ,1
شخص خذلك بشكل مؤذي ولم يعرف قيمتك   أي العقابين أقسى عليه أن تخرجه خارج حياتك نهائي   ام تبقيه ولكن كالغريب لا حق له عليك سوى أن يشاهدك دون أن يحق له أن يكلمك أو يقترب منك بعد ان كان له كل الأولوية  ,1,إذا مافي صلة قرابة أو مكان واحد يجمعنا يخرج من حياتي نهائيا أما في حال في صلة قرابة أو نتقابل في مكان عمل أو جمعات حاله حال الغريب,1
منذ٢٠يوم التزم بحمية لكن اشعر كأني اموت روحي تتقطع لا تتخيلون حجم الالم والصراع النفسي الذي امر فيه لست جائعه اكل بكمية مشبعه انزل وزنا لكن المي النفسي كأحد فقد اعز احبته انام وصدري يتقطع قهرا كمدمن مخدرات احتاج كمية تفوق حد الشبع من الطعام لأهدأ  ,1,أكبر خطأ يقع فيه أصحاب الحمية و الريجيم هو الدخول في الريجيم مباشرة و بقوة الأفضل أن تستعد نفسيا للريجيم و تطبخ الفكرة في دماغك أيام قليلة قبل البدأ   ثم تبدأ تدريجيا في الريجيم لا تنسى شرب الماء كثيرا فهو يساعد على الإحساس بالشبع و مارس الرياضة بإنتظام لأنه ريجيم بدون رياضة ريجيم حكم عليه بالفشل قبل البدأ   مارس أي رياضة مشي ركض أو دراجة هوائية أو رقص   مارس رياضة و كل ما تريد  أختم بقول النبي الكريم عليه أفضل الصلاة و السلام  نخن قوم لا نأكل إلا إذا جعنا و إذا أكلنا لا نشبع ,1
ما هو أكثر بلد تريد زيارته  ولماذا ,1,تركيا لانه اعشق لغتها وطبيعتها وغير ذلك بحس انوو هو بلد مثقف ولديه تاريخ عظيم وبحب استفاد من ثقافتهم,1
تتنوع المواقف في الحياة بين الضعف والقوة والغنى والفقر والسلطة والنفوذ والقوة  متى يظهر الإنسان على حقيقته  وما هي المواقف الأقرب كي يكون الشخص على سجيته ,1,في أقسى ضعفه    في مرضه,1
هل لك تجربة في الصيام عن الكلام لأيام متتاليات عدا ذكر الله  حدثنا عن أثر ذلك في نفسك ,1,لقد عزمت على ان لا أقول كلاما سيءا عندما اغضب و طال ذلك حتى شهرين كاملين و ها أنا الآن لم اعد أفعل أو بالأحرى أقول ذلك الكلام إلا عندما اغضب الى درجة أنني افكر في قتل ذلك الشخص,1
لدي 30 محاضرة وكل محاضرة طولها ساعة  ولكي أفهمها بشكل أكبر سأحتاج إلى نصف ساعة أخرى بعد كل محاضرة لأحل الأسئلة  ويجب أن أنهي كل هذا خلال يومين فقط  هل من طريقة أو فكرة لأخرج بأقل الأضرار ,1,عليك بتلخيص كل محاضره كتابه بيدك لأقصى درجه تستطيع أن تلخص بحيث انك تنقل النقاط المهمه فقط في المحاضره ثم تبدأ للمذاكره ما لخصته فقط دون التطرق للمحاضره الاصليه ,1
كنت في علاقة مع شخص لكنه تخلى عني بداعي أنه فقد شعوره بالحب تجاهي  وبعد مرور شهر كنت ما زلت أحبه لكن مؤخرا  لم أعد أحب حتى رؤية وجهه  فما السبب ,1,من وجهه نظري هو لما يحبك بالفعل وكنت مجرد تسليه ليس إلا وان فعلا لو كان حب حقيقي كان هيفضل موجود لكن لما بعد و بداتي تحسي انه شخص مش مناسب ليكي وانه مش بيحبك بجد بداتي تحسي انه عدم وجوده راحه ليكي ووجود مثل الشخص هذا كثير انتي كنتي مع شخص سام ارجو اني ردي علي اجاباتك ميكونش سخيف انتي تستاهلي حد احسن منه,1
كيف أرد على من يقلل من قيمتي ,1,بعد التحقق والتأكد من أن الطرف الآخر يستهزء منك ويحتقرك وينقص من قيمتك الشخصية فإن أفضل وأحسن رد هو التجاهل وعدم الرد لأمثال هؤلاء   لماذا قلت يجب التحقق لأن أكثرنا يسيء الظن في الآخرين عن طريق الخطأ وبعد التحقق تجده كان يتكلم عن شيء آخر غير ماكنت تظن تماما  قال الإمام الشافعي رحمه الله بخصوص سؤالكيخاطبني السفيه بكل قبح فأكره أن أكون له مجيبايزيد سفاهة فأزيد حلما   كعود زاده الاحراق طيبابعد التحقق والتأكد من أن الطرف الآخر يستهزء منك ويحتقرك وينقص من قيمتك الشخصية فإن أفضل وأحسن رد هو التجاهل وعدم الرد لأمثال هؤلاء   لماذا قلت يجب التحقق لأن أكثرنا يسيء الظن في الآخرين عن طريق الخطأ وبعد التحقق تجده كان يتكلم عن شيء آخر غير ماكنت تظن تماما  قال الإمام الشافعي رحمه الله بخصوص سؤالكيخاطبني السفيه بكل قبح فأكره أن أكون له مجيبايزيد سفاهة فأزيد حلما   كعود زاده الاحراق طيبا,1
اذا كنت تنوى أن تعتذر لأحد فمن الشخص الذى ترغب فى الاعتذار له بشدة ,1,نفسي حين حملتها ما لا تطيق ,1
شئ تقوم بعمله كل يوم و تفخر به ,1,قراءة القرءان والأذكار وذكر الله عز وجل,1
سؤال من أحد أصدقائي أنقله لكم هنا  كيف أحصل على عقد عمل عبر مواقع التوظيف في دولة من دول أوروبا أو أمريكا الشمالية  كشخص مقيم في السعودية وغير متقن للغة الإنجليزية بشكل كاف  هل هناك خطة أو إستراتيجية تنصحني بها ,1,نعم يدخل المواقع ويقدم على عمل أما اللغة الإنجليزية ليس مشكلة الله يخلي لنا الشيخ جوجل يترجم الكلام الذي يريده والمسألة نسخ ولصق,1
رت  ب  هذه الأمور بحسب  ما تعطيها من أولوي ة من وقت ك  وتفكيرك    المال   العمل  السلام النفسي  الص  حة  الزوج ة  الولد  العلم والتعلم  العبادات  صلة الرحم  الصداقة  اللهو ,1,1 العبادات 2 العلم و التعلم 3 صلة الرحم  الصداقة4 السلام النفسي  5 المال العمل6 اللهو ,1
أخبرني الآن عن رؤيتك للعام القادم  مثلا  أنا أرى نفسي أتقن شيئا  جديدا  وأقرأ العديد من الكتب  ماذا عنك ,1,بسم الله الرحمن الرحيم   بإذن الله  سأكون طالبة في جامعة الأدب العربي   سأنهي كتابة قصتي الحالية   سأكتب قصة جديدة   سأحفظ ما استطعت من كتاب الله   سأحسن من نفسي   سأقرأ كتبا  و كتبا  و كتبا  بقد ما أستطيع    منها رجال حول الرسول   عليه الصلاة و الس لام  و سيرته عليه الس لام   سأرسم بعض الرسومات   سأطور من إنجليزتي   سأقرأ في كل يوم جزءا  من القرآن   و أهم شيء نحاوله دائما  التقرب من الله عز وجل   و الس لام لقلبك  ,1
هل فعلا  الأسنان لها بصمة مثل العيون والأصابع  وكيف ,0,قبل أيام قرأت بأن هناك دراسات أثبتت أن شكل الأسنان ولونها لها علاقة بصحة المرء ومستواه الاجتماعي واهتمامه بنفسه  فمت خلال الضرس يعرف الخبراء نوعية تغذية صاحبها فتكون البنية قوية   ونحن عندما نتحدث مع الآخرين سننظر للوجه لما فيه من عيون وفم وملامح  فتلقائيا  ستنتبه لأسنان الشخص المقابل حتى وإن كنت غير قاصد وأكثر شخصية تأتي في بالي عندما نتحدث عن الأسنان هي المطربة أنغام  عندما كنت صغيرة كنت أنتبه لأسنانها في صورها بالمجلات  فكانت تلفت انتباهي بشكل كبير ,0
ما هو أكثر سؤال تسأله لنفسك  ولماذا هذا السؤال بالضبط ,1,يارب هل انا أرضيك لإن اهم شئ ان ارضي الله ,1
  كيف اذاكر و أحب دراسة مادة الفيزياء و هل من طرق فعالة لذلك   ,1,خلينا وضحيين من الاول انى قد تكون الفزياء ماده محتاجه شويه مجهود زيادهو برضو نكون عارفين انى الحب تجاه شئ او خلق شغف تجاه شئ مش بيجى بسهوله    وانت واقف بعيد كدا متعاملتش مع الشئ دا و اتعمقت فيه   لا لازم تدوس فالماده دى و تديها وقتها وزياده و حاول تفهمها بتفصيلها اكتر و تحل فيها اكتر   و بعدها صدقنى هتحبها و حتى لو فى جزء وقف معاك هيكون هندك الشغف انك تبحث و تعرف عنه اكترهقولك مثال لو انت مثلا بتحفظ سوره فالقرآن و اخدت وقت اطول و مجهود اكتر فالحفظ    صدقنى هتكون من امتع و احب الصور الى قلبك   و بالنسبه للطرق الفعاله للمذاكره فى كتير اوى و فى ناس قايله نصايح كتير عن الموضوع دافى حلقه من بودكاسخلينا وضحيين من الاول انى قد تكون الفزياء ماده محتاجه شويه مجهود زيادهو برضو نكون عارفين انى الحب تجاه شئ او خلق شغف تجاه شئ مش بيجى بسهوله    وانت واقف بعيد كدا متعاملتش مع الشئ دا و اتعمقت فيه   لا لازم تدوس فالماده دى و تديها وقتها وزياده و حاول تفهمها بتفصيلها اكتر و تحل فيها اكتر   و بعدها صدقنى هتحبها و حتى لو فى جزء وقف معاك هيكون هندك الشغف انك تبحث و تعرف عنه اكترهقولك مثال لو انت مثلا بتحفظ سوره فالقرآن و اخدت وقت اطول و مجهود اكتر فالحفظ    صدقنى هتكون من امتع و احب الصور الى قلبك   و بالنسبه للطرق الفعاله للمذاكره فى كتير اوى و فى ناس قايله نصايح كتير عن الموضوع دافى حلقه من بودكاست اسمه  مطب العشرين  لخصتلك الموضوع دا فى نص ساعه لو حابب ابقا اسمعها اسمها مطب الثانويه و ممكن تسمع برضو لاحمد ابو زيد,1
كيف بإمكاني نشر سؤال أو استفسار هنا في كورا  مع توضيحه  لكنه جد ا طويل  لذا قمت بنشره كمنشور على صفحتي عل ني أعثر على إجابة ,0,يمكنك وضع السؤال بشكل مختصر ثم توضيحه بوضع إجابة على نفس السؤال,1
ما هي طرق التخلص من الخجل الشديد والكسوف المفرط ,0,هناك أكثر من طريقة لتجاوز هذا ومنها مع مرور الوقت  سوف تلاحظ أنك تحقق الأهداف التي تريدها وستجد ان هناك الكثير يتحقق تلقائيا  والتي رغبت دوما  في تحقيقه من قبل تحياتي  ,1
كيف ترى الفكر العلماني الذي ينادي بفصل الدين عن الدولة  وبأن الإسلام يجب أن يكون بعيدا  عن السياسة أو الحكم  وما رأيك في المصطلحات التي ابتدعها هؤلاء العلمانيون كـ  الإسلام السياسي  و  تسيس الدين  ونحو ذلك  عز  ز قولك بالأدلة الشرعية ما أمكن ,1,الانسان بطبعه ناقض لكل شئ وعلي مر التاريخ يتعلم من التجربة والخطأ وتحسين النتائج حتى يصل الى اكثر حل منطقى ويغطي اكبر الجوانب الحالية للمشكلة  ولكن كلما تمر السنين والافكار تجد دائما ان الحل الامثل والاصلح علي المدي البعيد وعلي نطاق المجتمعى وليس نطاق الافراد المحدود ورغباتهم هو الاسلام والتعاليم الاسلامية فى كل تعاملاتنا مع النفس ومع الاخرين ولكن مع مرور الوقت وحتى يستوعب الانسان هذه الحقيقة اذا استوعبها من الاساس ياتى جيل اخر يبدا من البداية بحماس وطاقة جديد فى استيعاب العالم وتبدا الدورة من جديد وستبقى هذه سنه الحياة حتي قيام الساعة  لذا ردا علي سؤالك الاسلام هو افضل تشريع وقانون موجود وهذاالانسان بطبعه ناقض لكل شئ وعلي مر التاريخ يتعلم من التجربة والخطأ وتحسين النتائج حتى يصل الى اكثر حل منطقى ويغطي اكبر الجوانب الحالية للمشكلة  ولكن كلما تمر السنين والافكار تجد دائما ان الحل الامثل والاصلح علي المدي البعيد وعلي نطاق المجتمعى وليس نطاق الافراد المحدود ورغباتهم هو الاسلام والتعاليم الاسلامية فى كل تعاملاتنا مع النفس ومع الاخرين ولكن مع مرور الوقت وحتى يستوعب الانسان هذه الحقيقة اذا استوعبها من الاساس ياتى جيل اخر يبدا من البداية بحماس وطاقة جديد فى استيعاب العالم وتبدا الدورة من جديد وستبقى هذه سنه الحياة حتي قيام الساعة  لذا ردا علي سؤالك الاسلام هو افضل تشريع وقانون موجود وهذا من وجهة نظرى واعتقد اذا فهم هؤلاء العلمانيون كما تقول هذا التشريع حقا وكان لديهم النية فعلا لتطبيق هذه التشريعات لما هو اصلح للانسان وليس ما تهواه النفس البشرية فسوف يقولون انه افضل تشريع ايضا ولكن هذا في عالم مثالي صعب ان يتحقق ولا اعتقد انه يجب ان يتحقق لقد خلقنا بارادة حرة لنمتحن فى الارض وكل بما عمل مجاز ودليلا علي ذلك تخبط دول الغرب في القوانين والنتائج التى وصلو لها  هل وصلو الى تلك المدينة الفاضلة بعد كل التحرر والقوانين التى وضعوها لانفسهم   وايضا ستجد انهم في النهاية يذهبون الي قوانين مشابهه لتشريعات للاسلام ,1
هل دائما  تقول ما تعتقد أنه حق  أم تكتمه خشية  الانتقاد وإيثارا  للسلامة  أم تقول ما يرضي الناس  مجاراة  لهم ولو على خلاف  معتقدك  أجب بصراحة ,1,يجب للوصول إلا حل وسط,1
من وجهة نظري فازت قطر بكأس العالم مما قدمته للعالم من صورة مشرفة للإسلام وأوصلت رسالة الإسلام للعالم كله ولأول مرة في التاريخ المعاصر دولة تظهر الإسلام فشكرا  لقطر  هل تؤيدني ,1,بكل تأكيد  ,1
هل للذ  و ق قواعد ومعايير نستطيع من خلالها مثلا  أن نحكم بأن   فلانا  أرقى ذوقا  من فلان    أم أن  المسألة نسبية تخضع لتقدير كل جماعة  أو كل فرد ,1,من وجهه نظرى الذوق نوعين الاول  يتعلق بالتعاملات والتواصل بين الناس ويقال عليه ذوق فى التعامل ولكننى ارى ان هذا لابد ان يطلق عليه اخلاق وحسن معاملة بين الناس وقد امرنا الله تعالى ورسوله الكريم بحسن التعامل مع جميع البشر لا فرق بين جنس او دين او لون او عرق  الثانى  يتعلق بالاختيار مثل اختيار الملابس والالوان والاثاث الى اخره   وهذا له قواعد فى التصميم وله علم خاص به يدرسه طلاب كليات الفنون والعمارة والديكور والفنون التطبيقية    ويمكن ان يكون موهبة ربانية يستطيع بها الشخص ان يختار الالوان المتناسقة والاحجام والمقاسات المناسبة للاستخدام    وللتوضيح أكثر يوجد لدينا مثل عربى يقول   لو لم تختلف الاذواق لبارت السلع   اى لم تجد من يشتريها لذلك هناك اذواق مختلفة بين الناس ومعظم الناس لا يتفقوا على ذوق واحد   ولكن فى القليل من الحالات يتفق الناس على ذوق واحد وهذا هو الذوق او الاختيار الذى يكون بالموهبة او بالدراسة الحقيقية وهذا يكون مرتبط بقواعد ومعايير محددة   هذا سوف يجعلنا نتطرق لأمر هام جدا نسبح به الخالق العظيم    فلقد وضع لنا الله ورسوله كل قواعد الذوق سواء فى التعامل او فى الاختيار    فالدين المعامله وكل قواعد الاخلاق وطريقة التعامل بين الناس مذكورة فى ديننا الاسلامى وايضا فى جميع الديانات السماوية      وانظر حولك تتطلع فى خلق الله انظر الى السماء    الارض    النباتات   الطيور    الاسماك   الحيوانات    جميع خلق الله سوف تعلم جيدا ارقى واعلى معالم الذوق وبديع الخلق    ومن هذا يستنبط الفن قواعده ومعاييره   ولكن اخى واختى الكريمة اليوم راح الذوق من عالمنا    للاسف كلا الذوقين ذوق التعامل وذوق الاختيار    فتجد التعاملات بين الناس اليوم تفقد الذوق والاخلاق الا من رحم ربى وتجد الوان غير متناسقة وملابس غير مهندمه ومبانى فقدت لعناصرها الجمالية وووو الى اخره  ليتنا نعيد التأمل فى خلق الله ليتنا نعيد البحث عن كلمة ذوق فى التعامل فى كتب الله السماوية لنتعلم من جديد ونعلم الاجيال القادمة المعنى الحقيقى لكلمة ذوق   تحياتى لكل صاحب ذوق راقى   ,1
لماذا يساورني شعور بالابتعاد عن كل من أحبهم  وكيف أنساهم بسرعة ,1,لأنه ببساطة نحن نتغير والظروف تتغير وكل ما نحبه يتغير لا شيء يبقى على حاله   لا يوجد هناك شخص ثابت يبقى معك الى الابد كلنا مجرد عابرون في حياة بعضنا  اما بالنسبة للنسيان فلا يوجد دواء له انما بالتعود والتأقلم   علينا ان نعود انفسنا بالعيش بدونهم والتأقلم والتماشي مع هذة الحياة بعد فترة من الممكن ان لا نكون قد نسينا الاشخاص ولكن نكون قد اعتدنا العيش بسهولة بدونهم ,1
هل من الطبيعي أن أشعر بالقرف والاشمئزاز من دلع البنات أو من تحاول تصنع ذلك ,1,نعم انه من الطبيعي جدا وانا كواحدة من البنات اشعر بهذا الشعور لان هذا ليس طبع بشري انه تصنع ولفت للانتباه واي شخص لا يتصنع ولا يحب هذا التصرف او محترم بصفة عامة سوف يشعر بهذا الشعور,1
ماهي  اسورة التي تسمى بقلب القران ,0,سورة ي س ,0
من اين أبدأ وكيف استمتع في حياتي انا فتاة في 19 من عمري ادرس إدارة الأعمال الجميع يقول ان هذه افضل ايام حياتي ولكني لا أشعر هكذا لا اشعر بشئ اعيش مثل كل الناس لا يوجد اي تميز في حياتي لا أخرج خارج نطاق مدينتي حتىالجامعةفي نفس المدينة اريد حياة   ,1,اهلا  اختي او صدقيتي بينما انا وانتي بنفس المرحله العمريه  اجابة سؤالك بالمختصرطالما انك تعيشين بصحة وعافية ومكملة تعليمك ومرضية لربك وبارة لوالديك ف  هذه هي السعادة عليك ان تستشعريها ,1
ابي منكم مثال على الفروق الفردية  ,1,تابع أي رياضة تنافسية,1
هل التخصص بمجال ما مهم في هذا العصر لاننا اصبحنا في عصر يمكن التعلم اي شئ هل الاكتفاء بتخصص معين افضل من كثرة التخصصات هل يمكن التخصص في اربع مجالات مختلفة في هذا العصر ولماذا وهل المتخصص في مجال واحد له جاذبية اكثر من من متخصص في عدة مجالات ,1,اعتقد المتخصص في مجال واحد افضل لانه ينتج فيه ويطور من نفسه واذا تميز في هذا المجال يكون افضل له في جني المال ولكن طبيعة الحياة الان تحتم عليه ان يعمل في مجالات اخري لجني المال واذا كان يجد شغفه في عمل غير مجاله وكان مجدي له فذلك افضل فيمكنه التخصص قي مجالات اخري اما من ناحيه اربع تخصصات اعتقد انه كثير ولايستطيع التركيز فيها والمهارة فأري تخصصين مناسب مع التطوير فيهما وتعلم مهارات تخدمهما,1
ما هي أفضل القنوات للتكنولوجيا وصناعة المحتوى  تصوير  مونتاج  تطبيقات وبرامج  برمجة   وهل تجتمع جميع هذه المواضيع في قناة واحدة ,1,السلام عليكمصراحة  لم اجد قناة يويتوب مستمرة بشكل كبير على هذه ال 5 نقاط ولكن قناة  دروس اونلاين  ل أحمد ابو زيدجدا  ممتازتحتوي على فيديوهات مثل   كورسات فوتوشوب وتقيمات لاستراتيجيات دراسة وتعلم لغات كذالك توجد فيدوهات له يشرح فيها ادوات التصوير وارخص الكمبيوترات وعدة التصوير   وايضا  مصادر تعليم لغة بايثونبختصار   القناة توجد فيها جميع النقط التي ذكرتها في الاعلىوايضا لديك قناة لصديق صاحب دروس اونلايناسمه غريب الشيختخصصه كامل في علم الحاسوب والبرمجة   صراحة  لا اتابعه كثيرا  لكن اظن انه يملك بعض الفيديوهات التي يعرض فيها ادوات التصوير والمونتاجانصحك بشدة ب دروس اونلاين,1
إذا كنت صبور وعلى استعداد للتحمل لسنوات من أجل تعلم شيء  فهل المجالات كالبرمجة والذكاء الاصطناعي مناسبة لي ,1,إن كنت تملك الإمكانية و الحافز لتعلم البرمجة فأصحك بأن تباشر من الآن  و لا سيما أننا في عصر الرقمنة و هذا أصبح من أشهر و أهم المهارات المطلوبة ,1
كيف أتخلص من إحساس الإحباط من البرمجة ,1,بناء عادة  تعلم البرمجة  لمدة قصيرة كل يوم مع التركيز ,1
ما هو تخصص هندسة أمن المعلومات السيبراني  وما الفرق بينه وبين أمن المعلومات  وما الأفضل دخول هذا المجال أم مجال علوم الحاسوب لشموليته  وكيف لمختصص في علوم الحاسوب أن يصبح خبير أمن معلومات ,0,أمن المعلومات مجال واسع وكبير  وأسماء التخصصات قد تتعدد بين الجامعات المختلفة ولا يوجد أسماء موحدة للتخصصات بحيث يمكننا المفاضلة بينها  كما أن سوق العمل يتجه شيئا فشيئا نحو المهارات وقياسها أكثر مما يكترث للشهادات المفاضلة بين مجال الأمن ومجال علوم الحاسب أيضا يعتمد على ميولك وأهدافك بل وربما أيضا على الحسابات المادية وتكاليف دراسة كل تخصص  كل ما سبق في الشق المتعلق بالدراسة الجامعية  أما بالنسبة لكيف تصبح خبيرا في أمن المعلومات  يمكنك الدخول إلى الأمن السيبراني من كثير من الأبواب المختلفة  يعني ممكن أن تبدأ بتعلم أمن الشبكات  مثلا  ولك في ذلك اختيارين  إما الممارسة المباشرة ودخول المسابقات والبحث الذاتي  أو يمكنك أخذ مساق تعليمي مثل شهادات CCNA  ممكن تبدأ بمقدمة عامة مثل شهادة CEH  وممكن تدخل على المواقع التي توفر لك طريقة تعلم مثل tryhackme  أنصحك أن تبدأ أولا بفهم ما هية المجال وما تخصصاته وتقرأ عنه قبل أن تقرر أو تصل لتصور عما تريد فعله ,1
كيف أدرس علوم الحاسب بشكل جيد و أتأسس جيدا فيه  و المصادر التي من الممكن ان أتعلم منها ,1,منهج ossu منهج الكثير من الناس رشحوه ليكون الأفضل ,1
افضل تطبيق اندرويد للحماية من الاختراق والتجسس والفيروسات وتكون النسخة المجانية منه تؤدى الغرض ,1,يتعين عليك تجربة التطبيقات بنفسك كي يتسنى لك الحكم على أي منهم ستعتمد و أي منهم ستفي بالغرض كنسخة مجانية ولكن ينصح دوما  بالنسخة المدفوعة لضمان درجة عالية من الأمان لهاتفك  ومن أبرز شركات الأمن الرقمي و التي تصمم تطبيقات خصيصا  لهذا الغرض هي Avast   KasperSky   Eset و غيرهم الكثير أنصحك بمتابعة المقالة التالية إذا كان لديك مزيد من التساؤلات حول هذا الأمر دمت بخير ,1
ما هو افضل تخصاص فلعمل هل هو الذكاء الاصطناعي او حسبات ومعلومات  برمجه   ,1,لا يوجد تخصص  أفضل  عالمي ا تجاه كل شخص  كل من الذكاء الاصطناعي والحسابات والمعلومات يحمل فرص عالمية تبع ا للمناخ الإقتصادي والتكنولوجي والاحتياجات الإجتماعية المحلية وخبرة ومهارات الشخص ان أفضل عمل هو العمل الذي تستطيع القيام به بشغف وتحبه وتتأهل له ,1
أي  اللغات البرمجية الأفضل للتعلم وللعمل  أقصد عندما أريد أن أقدم على وظيفة  ما هي المؤهلات والمهارات التي تلزمني ,1,لغة بايثون,1
سأبدأ الدراسة في كلية علوم الحاسوب الأسبوع المقبل إن شاء الله  ما هي الأشياء التي تمنيت فعلها فور بدئك في الدراسة  وكيف أطور من نفسي كمبرمج أكاديميا  وتطبيقيا   وما هي المهارات التي لا تدرس في الجامعة ويجب أن أكتسبها لوحدي ,1,السلام عليكم  اسأل الله أن يوفقك في دربك و يبارك لك في عملك و رزقك  اول شيئ تمنيت فعله عندما بدئت الدراسة هو ممارسة ما تعلمته و أن احاول أن اتعلم خارج الكلية  المدرسة ليست سوى طريق و الطريق يؤدي إلى مكان و هناك أكثر من طريق للوصول إلى أي مكان و بمسافات مختلفة  لذلك ابحث بنفسك عن كل شي تتعلمه و حاول أن يكون لك هدف في هذا المجال  مثلا يمكن أن تصبح مبرمج صفحات ويب او برامج حاسب او الجوال او أن تتخصص في حماية الشبكات  هنالك العديد من المجالات الفرعية و عليك اختيار ما تريد منها لتعرف اي طريق تسلك إلى هدفك فالسفينة بلا وجهة ترمي بها الريح إلى مكان قد لا يناسبها  و أخيرا اتكل على الله و كن حول من يخرالسلام عليكم  اسأل الله أن يوفقك في دربك و يبارك لك في عملك و رزقك  اول شيئ تمنيت فعله عندما بدئت الدراسة هو ممارسة ما تعلمته و أن احاول أن اتعلم خارج الكلية  المدرسة ليست سوى طريق و الطريق يؤدي إلى مكان و هناك أكثر من طريق للوصول إلى أي مكان و بمسافات مختلفة  لذلك ابحث بنفسك عن كل شي تتعلمه و حاول أن يكون لك هدف في هذا المجال  مثلا يمكن أن تصبح مبرمج صفحات ويب او برامج حاسب او الجوال او أن تتخصص في حماية الشبكات  هنالك العديد من المجالات الفرعية و عليك اختيار ما تريد منها لتعرف اي طريق تسلك إلى هدفك فالسفينة بلا وجهة ترمي بها الريح إلى مكان قد لا يناسبها  و أخيرا اتكل على الله و كن حول من يخرجون افضل ما فيك و تذكر أن الراحة تأتي بعد العمل و لذلك لا ترتاح قبل أو في منتصف عملك,1
أنا أريد جهاز حاسوب بنظام الويندوز  لذا هل تنصحوني بأن أستعمل نظام اللينكس عوضا  عنه أم أن ويندوز أفضل ,1,قم بتنصيب اثنين   ان كنت متعود اكثر على واجهة ويندوز ولست ممن يفضلون ترمينالفانصح ب manjaro الى جانب ويندوزنصب اثنينوانظر من اكثر راحة لككل الامر يعتمد على طريقة استعمالك للجهازوعلى كل ويندوز يصبح اكثر قربا للينكس فترة بعد فترةحيث يسمح لك ويندوز بتثبيت لينكس ترمينال و الكثير من تطبيقات تشتغل عليهوفي المقابل لينكس ايضا يصبح اكثر user friendlyوفوق كل ذالك مجاني لكنه يفتقد للدعم ولهذا لايدعم العاب جديدة و اغلب طابعات و الاجهزة اخرى,1
كيف يمكنني ترجمة صفحة في Google Chrome على جهاز كمبيوتر ولكني لا أرى زر الترجمة ,0,عن طريق اضافة اداة translate من متجر الاضافات,0
هل يجب أن أتعلم لغة برمجة مثل بايثون أو   C قبل اختيار المسار البرمجي ,0,يفضل C   فهي لغة عالية المستوى و تمكنك من تعلم أي لغة أخرى إن تمكنت منها  بايثون لغة روادها في تزايد كبير نسبيا  و سهلة التعلم  ,1
ما هو ترتيب لغات الحاسوب من الأسهل إلى الأصعب بالترتيب ,0,الى حد ما يمكن ترتيبهم من الاسهل الى الاصعب كالاتي  1  HTML2  CSS3  JavaScript4  Python5  Ruby6  Java7  PHP8  C C  9  C ,1
