Question,Subj_Q,Answer,Subj_A,Domain
أنا لدي لابتوب ضعيف من نوع لينوفو كنت استعمله لدراسة فقط و كان يعمل بشكل سلس و لكن فجأة شغلته مرة و اصبح بطيئ جدا حيث انني لا استطيع فتح كروم أو اعدادات الكمبيوتر بسبب البطئ الشديد (تابع سؤال بتعليقات لأن حجم سؤال محدود هنا) ؟,1,حاولت إعادة ظبط المصنع من خلال وضع نسخة ويندوز خفيفة بلفلاشة و تثبيتها (قمت بتعديل دخول في بيوس إلى الفلاشة ) و لكن لا يريد تثبيت الويندوز يخبرني فقط بأنه يوجد خيار حل المشاكل و لكن عندما اظغطه لا يقوم بشيء اريد ان اسئل عن مجموعة من الحلول لهذه المشكلة علما انني لا استطيع الدخول العدادات الكمبيوتر بسبب البطئ😢,0,سوفا
لماذا أحتاج أن أتعلم كيف أبني صفحة ويب وهناك مواقع وبرامج يمكنها أن تفعل ذلك بطريقة أفضل وأسرع؟,0,انتشرت في الآونة الأخيرة برامج و مواقع لصنع المواقع و التطبيقات ولكن الفرق هو انك تكون متقيد بما يقدمه الموقع من خدمات ولكن على عكس تعلمك كيف تصنع موقع ( البرمجة ) فاتت لك حرية كبيرة في تطوير المواقع و الإبداع فيه …… كمثال أردت أن تفتح startup بفكرة لم تأتي من قبل المواقع التي تصنع لك التطبيقات لن تستطيع فعل ذلك لأن المطور لم يقم بإضافة فكرتك و لكن إذا تعلمت البرمجة فانت تستطيع الإبداع و القيام بعمل فكرتك . اتمنى ان تكون إجابتي وافية ❤,0,سوفا
كيف أجعل الكمبيوتر أن يدخل للمتصفح ويعمل أكشن معين بالبرمجة؟,0,يمكنك عمل دلك عن طريق لغة بايثونفقط ابحث عن طريق برمجة البوتات بلغة بايثون و ستجد الاجابة,0,سوفا
ما هي استضافة المواقع؟ وكيف تعمل؟ ,0, استضافة المواقع هي خدمة تمكنك من تخزين موقعك على الإنترنت وجعله متاحاً للزوار على الشبكة العنكبوتية. تعمل هذه الخدمة عن طريق توفير مساحة تخزين على الخوادم التي تكون متصلة بالإنترنت على مدار الساعة. وعندما ترفع موقعك على خادم الويب، يتم تخزين جميع الملفات الخاصة بموقعك على هذا الخادم، بما في ذلك صفحات الويب والصور وقواعد البيانات والبرامج. وعندما يقوم الزوار بزيارة موقعك بواسطة متصفح الويب، يتم تحميل الملفات من الخادم وعرضها على شاشة جهازهم. بالإضافة لذلك ، توفر خدمة استضافة المواقع أيضًا خدمات أمان، مثل حماية البيانات والنسخ الاحتياطي وشهادات الأمان لتأمين موقعك وزيادة ثقة الزوار. ,0,سوفا
ماذا تفعل لو كنت مكاني، الكل يتوقع منك أن تخرج الأسرة أو العائلة من الفقر. هل يمكن أن تعطيني بعض النصائح المهنية وعن الحياة؟,1,الادخار ثم الادخار .. ادخر 20% من دخلك 10% للطواري و 10% للاستثمار هذه لأخيرة ليت لك ولا يجوز استخدمها ابداء كلما جمعت لك مبلغ يجمكن استثماره فافعل المبالغ الصغيرة افضل استثمار يكون بالأسهم ابحث عن سهم لشركة جيدة توزع أرباح بشكل منتظم واشتر فيها وكلما نزل السهم اشتر فيه حتى يكون لديك رقم يمكنك استثماره في العقار او شركة تضمن 80 % نجاحها … ستتعلم كيف تكون ثروة .. لا تنسى الصدقة والزكاة ان كنت ممن تجب عليهم الزكاة …………..,1,سوفا
خلال تنزيل الملف انقطع الإنترنت فانتظر الملف الإنترنت إلى أن رجع وأكمل تنزيله وكأن شيئاً لم يكن، وملف آخر من مكان آخر بمجرد انقطاع الإنترنت فشلت عملية التنزيل بالكامل، ما الفروقات وراء الكواليس التي تقف وراء الحالتين؟,0,مرحبا، من السؤال الأصلي:,0,سوفا
ما الفرق بين الهكر (Hacker) والكراكر (Cracker)؟,1,ال Hacker هو الشخص المسؤول عن بناء البرامج لنفسه بشكل اساسي ومن ثم يستغلها للاختراقاما ال Cracker هو الشخص الذي يعتمد في الاختراق على برامج تمت برمجتها من قبل اشخاص اخرينبما معناه ان ال hacker لديه معرفه وعمق برمجي على عكس ال cracker الذي لا يفقه سوى استخدام البرامج التي تمت برمجتها مسبقا.,0,سوفا
ما هي البيانات التي يجب أن تتضمن في منظومة لمحل إلكتروني يعمل عليها موظف؟ أحد الأفكار التي خطرت علي هي: أسم المنتج، الوصف، الكمية، قيمة التخفيض، السعر المنتج، السعر المجمل. أرجوا أن تفيدوني بأفكار أخرى.,0,أسم الشركة المنتجة - تاريخ الصلاحية - وحدة التخزين - الكمية الحرجة عند الطلب - البار كود,0,سوفا
أريد تعلم Flutter إضافة إلى لغة Dart، لكني لا أعرف عنهما سوى أمر واحد حرفياً، وهو أنني إذا تعلمتهما فسأتمكن من برمجة تطبيقات الهاتف. ماذا يجب أن أعرف بالتفصيل قبل البدء في تعلم لغة Dart ومن بعدها Flutter؟,0,بالنسبة لي اريد ان اعطيك بعض الروابط التي سوف تساعدك في تعلم وفهم لغة dart في البداية.... وخذ وقتا جيدا ولا تستعجل في دخول flutter الا وانت جاهز في dart تماما*يجب عليك قبل دخول مجال التطبيقات ان تكون عندك خلفية( ولو بسيطة) بجيمع لغات البرمجة والانظمة التي كانت تستخدم والتي تستخدم الان*(ملاحظة) يوجد نوعين من برمجة التطبيقات او الهواتف الذكية وهي native اولا... cross platform ثانيا حيث ال native تعمل يتم فيها برمجة التطبيقات باللغة الاصلية للجهاز مثلا الاندوريد و ios(ايفون) حيث يتم برمجة الاندوريد ب Java وايضا كولتن وهذا ما يسمى بال native،، اما بالنسبة لل cross platform فيه يتم برمجة اكتر من نظام بلغة برمجية واحدة ولا يجب ان تكون لغة برمجة النظام نفسه مثل لغة (ايونك) وهكذا وهذا الرابط الذي في الاسفل سوف يوضح لك اكثر عن برمجة التطبيقات والهواتف الذكيةواقترح ايضا ان تشاهد هذاوسوف اعطيك بعض الملعومات عن لغة dartاولا لغة سهلة التعلمثانيا لغة مرنة ومفتوحة المصدرثالثا لغة متعددة المنصات مدعومة من شركة قوقلرابعا لغة برمجة مدعومة من اي مبرمج سواء كنت مطور تطبيقات او تطبيقات ويب او مطور تطبيقاتdesktopوالرابط التالي هو كورس انصح به لتعلم لغة dartاما بالنسبة لflutter كلما سوف اتكلم عنه الميزات التي عنده وتستطيع ان تبحث موقع flutter عن التطبيقات التي عملها باستخدام منصة flutterاولا نفس واجهة المستخدم ومنطق الاعمال في جميع الانظمة الاساسيةثانيا تطوير وقت تطوير الكودثالثا الفعالية من حيث التكلفةالرابعة نفس تطوير التطبيق ال nativeوالرابط التالية سوف يكون لتعلم لغة flutter و dart معا وانا انصح بتعلمهم منفردين عن بعضهما اذا كنت جديد في البرمجة وسوق تجد الرابط الذي في الاعلى لتعلم لغة dart لوحدها وهنا تعلم flutterوانصح دائما للمبرمجين البحث الدائم والمستمر ع مشاريع واسئلة برمجية,0,سوفا
بدأت تعلم برمجة تطوير المواقع لسبب ان لغاتها سهلة و مصادر تعلمها كثيرة و مجانية و اعتمد عليها كمصدر دخل عن طريق العمل الحر لكن أريد تعلم الأمن السيبراني ولدي فضول في تعلمه ولا ادري ماذا افعل في هذه الحالة هل اكمل ثم اتعلمه ام اتركه و اتعلم الامن؟?,1,اتمنى تعلم لغات البرمجه لكن لم استطع فهم شي منها,1,سوفا
كيف يمكنني تنزيل أفضل برنامج معالجة النصوص الوورد مثلاً ولكن مدفوع؟ ,1, ممكن من خلال حساب( اوت لوك) او (هوتميل) ادخل علي حسابك و ابحث عن اوفيس 365 تستطيع من خلال حسابك العمل علي برامج الافيس بشكل مجاني (اونلاين) ,0,سوفا
أنا من الجزائر وعمري 16 سنة ولقد صنعت روبوت بوجه إنسان يستطيع التحدث والإجابة عن الأسئلة مثل الروبوت صوفيا ولكن دولتي لا تهتم بالتكنولوجيا، أريد الذهاب إلى دولة تدعمني لأطور مهاراتي، هل يمكنني الذهاب إلى دولة أجنبية؟,0,اولا مرحبا بكي وفخورون بكي وبانجازك هذامجرد السفر لدولة تدعم التكنولوجيا لا يعني انك ستجدين الدعم الكافي والمنتظر بل يتوجب منك عمل كبير لفرض وجودكانصحك بالدراسة الجيدة في الباكالوريا والالتحاق بالمدرسة العليا للذكاء الاصطناعي بالجزائر العاصمة هي مدرسة عظيمة حقا وتملك كل المعدات الضرورية لدعم طلابها ، هناك يمكنك اطلاق ابداعاتك وتبادل المعارف مع زملاءك المهتمين بنفس المجال واخذ النصائح من اساتذة اكفاءبالاضافة الى ان المدرسة تحت مراقبة العديد من الشركات منها الاجنبية لسرقة المواهب البشرية في هذا مجال مما يعني فرصة لكي تتكوني اكثر وربما تحصلين على منحة لاكمال الدراسة في الخارج ان شاء اللهلا تقولي الجزائر لا تهتم بالتكونولوجيا بل في السنوات الاخيرة فتحت العديد من المدارس العليا التي تهتم بمجال التكنولوجيا والاعلام الاليبما انك شغوفة بهذا المجال فانت تملكين الدافع الكبير للحصول على معدل عالي والولوج لهذه المدرسةبالتوفيق ❤,1,سوفا
ما هو أفضل نظام تشغيل للأجهزة الضعيفة جداً؟ أنا أحتاجه فقط في تعلم البرمجة.,1,في البداية اختيار نظام تشغيل هو امر صعب للغاية لكثرة التوزيعات طبعا انت بحاجة تنصيب نظام لينكس ممكن تشاهد هذا الفيديو لمساعدتك ويوجد فيديوهات أخرى تستطيع الاستفادة منها لتقرر ما هو مناسب لك لانه سوف يعتمد على خبرتك في التعامل مع سطر الأوامر او انك تفضل الواجهات الرسومية,0,سوفا
كيف أتمكن من العمل في الغرب كمبرمج عربي حديث التخرج؟,1,في شركات بتفتح باب التدريب .. ادخل كل التدريبات دي ، لو مستواك كويس اتاكد بنسبة 100% انك هتكون معاهم ، لان الاصل هو بيدربك عشان يستفاد منك ويشوف الاحسن اللي يناسبه عشان يشتغل معاه .اعرض نفسك علي الشركات انك تنزل تدريب بدون مرتب او بنص ، هيوافقوا .. هتتعلم وبنسبة 100% بعد شهر هتكون موظف معاهم .لينكدان دليلك .. شركات كتير بتبحث عن حديثي التخرج الفريش ، هم بيكونوا عاوزين يعلموهم بطريقتهم عشان يكسبوهم ل10 سنين قدام .ابدأ فريلانسر .. هتتعلم اكتر ما هتقدم خدمة .. وفرصتك هتزيد .بالتوفيق ان شاء الله : )),1,سوفا
أنا مطور برمجيات مبتدئ مستقل لمدة 3 سنوات. لكنني أواجه صعوبات دائماً وتقدمي بطيء لأنني أتعلم بمفردي. أنا أبحث عن مرشد ومعلم توجيهي، فأين يمكنني إيجاده؟,1,لا تريد مانتور ، يجب عليك ان تثقف نفسك دايما، البرمجيات عندها عده لغات تكتب بها، تعلم عده لغات، وثقف نفسك، ابحث على النت وانت قرر ما هو الصح وما هو الغلط. عندما تعمل هكذا انت الذي سوف يقرر اين الصح واين الغلط. لا تقلل من ثقتك بنفسك، ثق انك تستطيع ان تتعلم وتصبح متمرس، اعمل برامج صغيره وكبرها درجه درجه، تعلم كيف تكتب برامج على التليفون. اكتب برنامج يقول لك صباح الخير عندما تفتح التليفون في الصباح. ابدا بشيء سهل و شويه شويه تكتب برنامج كبير. هل تعلم كم من المال candy crush تنجب يوميا؟ حولي ٦٥٠ الف دولار، بدًا ببرنامج سهل وشوي شوي انتشر ليصبح من اكبر برنامج على الحاسوب.ثقف نفسك وسوف ترى كيف تستطيع ان تعمل كل شيء.,1,سوفا
هل معادلة الشهادة الجامعية (بكالوريوس هندسة مدنية) بشكل عام في أي دولة لها علاقة مع المعدل (معدل مقبول) وكشف علامات المواد، هل يتم التدقيق بالمعدل وعلامة المواد؟,0,نعم يتم التدقيق في معدلات المواد ويتم التدقيق في المواد نفسها وفي حالة انك لم تدرس بعض المواد التي يتم دراستها في الدولة التي تريد الذهاب إليها يجب عليك دراستها اما عن طريق المدارس او المعاهد المعتمدة او اعادة الفصول بعد قبولم في تلك الدولة,0,سوفا
كيف أبدأ في تعلم البرمجة من الصفر؟ وكيف أتعلم برنامج فوتوشوب؟,0,"السلام عليكم في البداية ساجيب فقط علي الجزء الاول لانه اختصاصيلقد تعلمت لغتين برمجة وحاليا اتعلم الثالثة في البداية الامر يتوقف علي ما الذي تريد فعلة بالبرمجة هناك اكثر من 700 لغة برمجية وكلها متشابهة تقريبا من حيث الية العمل ولاكن في الحقيقة الكمبيوتر في النهاية لا يفهم الا لغة الصفر والواحد وظيفة اي لغة برمجة هي تحويل اكوادك لصفر وواحد لكي يفهمها الكمبيوتر ولاكن كما ذكرت تقريبا كلها تعمل بنفس الالية مثلا في لغة c لكي اطبع نص اكتب ;(""هنا النص"") printf وفي لغة c++ لكي اطبع نص اكتب ;""هنا النص"">>coutفكما شاهدت وظيفة الكودين مثل بعضهما تماما وهي طباعة نص ولاكن الفرق هو شكل الكود (الدالة) ولاكن بالطبع كل لغة تتفوق في نقاط معينة مثلا منها من هو مناسب اكثر للمواقع ومنها من هو مناسب اكثر للتطبيقات ومنها من هو مناسب اكثر للالعاب لذلك يجب ان تعرف اولا ما الذي تريد فعله مثلا في حين انك اردت تعلم برمجة المواقع سيتطلب منك الامر دراسة لغات مثل html..css.javaوان اردت برمجة الالعاب ستحتاج لتعلم لغة c#او c++او لغة اخري لذلك يجب عليك ان تحدد اولا ما المجال الذي تريد تعلمه ولاكن ان طلبت نصيحتي سارشح لك لغة c فهي اختيار جيد جدا للدخول لعالم البرمجة وستجعل باقي اللغات بديهية بالنسبة لك.",1,سوفا
افضل طريقه مجانية لسحب ربحك من علي الانترنت مع العلم اني حاولت عمل حساب باي بال مرات كتيره ؟,1,"مرحبا يجب ان تذكر المنصة او المنصات التي تعمل عليها؟ وفي اي مجال تنشط؟ قلت انك حاولت ان تنشأ حساب بايبال ولم تتوفق قي ذلك يجب ان تتأكد من دعم بايبال لدولتك وايضا هل سبق لك ان أنشأت حساب وتم حظره وبالتالي لن تتمكن من فتح حساب اخر بنفس البيانات الشخصية, اذن المرجوا تقيدم معطيات اكثر لكي نتمكن من مساعدتك وشكرا.",0,سوفا
كيف أقوم بإنشاء حساب باي بال، مع العلم أنني حاولت إنشاء الحساب عدة مرات، لكنني لم أتمكن من ربط بطاقة الفيزا وتم تقييد حسابي عدة مرات؟,0,قد يكون باي بال غير متاح في بلدكابحث عن البنوك الافتراضية وافتح حساب في واحد منها وقم بربط حسابك في باي بال مع هذا الحساب وان شاء الله يتم التفعيل,0,سوفا
أيهما أفضل من ناحية العمل: البرمجة أم تطوير الويب؟,0,حتى الآن متساويان.ولكن الأفضل عمل ما تحبه أنت.,1,سوفا
"هل استخدام لابتوب ""Asus Zenbook 13"" جيد لبرمجة تطبيقات الأندرويد؟",0,أساسيات الهارد وير لبرمجة الأندرويد كالتالى:رامات 16 جيجابايتبروسيسور أى 5 على الأقلهارد 500 جيجا SSDإذا كانت هذه المواصفات موجودة أو أعلى منها فمبروك لك,0,سوفا
عمري 18 سنة، وأنا في السنة الأولى من الجامعة، قررت أن أترك الدراسة بسبب وضعي المادي وأتوجه للعمل في الإنترنت، لكن ليس لدي خبرة في المجالات. بماذا تنصحوني؟,0,انت متشتت فقط لا تقدم على اتخاذ قرارات مصيرية كهذه دون تخطيط مسبق يعني اعرف ماذا يوجد في سوق العمل الحر وماتحتاجه وتستطيع فعله والابداع فيه لانه ليس بتلك السهولة التي يتحدثون عنها في الانترنت فهي تحتاج لوقت وطول بال ورغبة في النجاح بالاضافة الى انك ستحتاج بذل مجهود مضاعف في ظل وقتنا الحالي ستجد منافسين شرسين في كامل المجالات مما سيجعل فكرة ايجاد زبون في فترة وجيزة شبه مستحيل لن تستطيع دخول العمل الحر بتجربة ومعارف سطحية في المجالضع خطة عمل تقسيم وقتك / الوسائل اللازمة /اختيار المجال المناسب…الخ قبل الاقدام على ترك الجامعةبرايي الجامعة لا تمنعك من دخول العمل الحر لو احسنت تقسيم وقتك ووضع خطة عمانت متشتت فقط لا تقدم على اتخاذ قرارات مصيرية كهذه دون تخطيط مسبق يعني اعرف ماذا يوجد في سوق العمل الحر وماتحتاجه وتستطيع فعله والابداع فيه لانه ليس بتلك السهولة التي يتحدثون عنها في الانترنت فهي تحتاج لوقت وطول بال ورغبة في النجاح بالاضافة الى انك ستحتاج بذل مجهود مضاعف في ظل وقتنا الحالي ستجد منافسين شرسين في كامل المجالات مما سيجعل فكرة ايجاد زبون في فترة وجيزة شبه مستحيل لن تستطيع دخول العمل الحر بتجربة ومعارف سطحية في المجالضع خطة عمل تقسيم وقتك / الوسائل اللازمة /اختيار المجال المناسب…الخ قبل الاقدام على ترك الجامعةبرايي الجامعة لا تمنعك من دخول العمل الحر لو احسنت تقسيم وقتك ووضع خطة عمل واستغلال عطل الصيفية خاصة ثم اذا تقدمت في مجال ما في العمل الحر وبدات بتحقيق ارباح او متاكد من حدوث ذلك في وقت قريب هناك بامكانك التفكير في قرار ترك الجامعة لكن ليس الانبالتوفيق 🌹,1,سوفا
من هو أكبر مبرمج مشهور وقوي؟,1,احمد بن السلنتي,0,سوفا
أريد أن أبدأ بتعلم تصميم الجرافيك والأنميشن وليس لدي جهاز كمبيوتر وأريد أن أشتري واحداً، هل يلزمني جهاز بمواصفات معينة؟ ما هو نوع ومواصفات جهاز اللابتوب المناسب؟,0,workstation جيب جهازاي نوع DELL او hp المهم انه workstationبالنسبة لللابات ممكن لو i7 و ما تجيبش ماك ابل لان ال 3d max مش بيشتغل علي الابل ماك,0,سوفا
هل يعتبر كالي لينكس برنامج أم نظام كويندوز؟,0,هي توزيعه من توزيعات نظام تشغيل لينكس مثل باروت و وايفاي سلاكس,0,سوفا
ما الفرق بين مصمم المواقع (Web designer)، ومطور المواقع (web developer)؟ وما هي الأدوات واللغات المستخدمة في كلاً منهما؟ وأيهما أفضل من وجهة نظرك؟,0,كبدايه مينفعش تنط تقفز السلمفي علم كمبيوتر الاول يتفهمو بعدين تتخصص,1,سوفا
"ما هي أفضل القنوات أو مصادر التعليم الذاتي؟ أنا طالبة مقبلة على كلية الهندسة، أريد أن أبدأ في دراسة حساب التفاضل والتكامل ""Calculus""، كتحضير للكلية. أريد نصائحكم ورشحو لي مصادراً جيدة أستطيع أن أتعلم منها مثل قنوات اليوتيوب وكتب ومواقع وأساتذة جدين.",1,ٲهلا وسهلاً بكقبل كل شيء عدم مقارنة نفسك بباقي الطُلاب أبداُثانياً التأكد وتدوين النقاط المهمة التي يطرحها المُحاضر وهنا أركز بأن المحاضر من الممكن أن يكون قد درس هذه المادة عدة سنين وقد أصابه الملل من إعادتها كل فصلثالثاً بإن ما يمكن أن تحصل عليه في المحاضرة لا يتجاوز 5% من الدرس وهنا يأتي دورك للبحث والتعلم الذاتيأخيراً قناة خان أكاديمي من أفضل القنوات المجانية المتوفرة على اليوتيوب حقاً أفادتني كثيراًوتخرجت بحمدلله بدرجة إمتياز والأول على مستوى دفعتي .. ربي يوفقك🌹,1,سوفا
كم هي المدة اللازمة لإنهاء كورس Ossu؟ وهل يوجد من أتمه في وقت قصير نوعاً ما لأني عندما جمعت المقرر وجدت أنه يتطلب الخمس سنوات؟,0,حسب الوقت المقدر لكل مساق في المسار وبمذاكرة خمس ساعات يوميا من المفترض أن تنهه في حوالي ثلاثين شهراً، وهي مدة معقولة، لكن لدي بعض الملاحظات..عملية التعلم لا تسير بالسرعة ذاتها في كل مراحلها، المساقات المبكرة ستستغرق معك وقتا أطول رغم أنها نظريا أسهل، لكن هذا ما يحدث.لست مضطرا للالتزام بالمساق المذكور في المسار، فإن وجدته صعبا استعن بمراجع أخرى ثم اجعلها مراجعة أخيرة لترى فقط إذا كانت هناك إضافة.بعض الموضوعات لست مضطرا لدراستها إذا ضاق بك الوقت، فقط حدد أي اتجاه في العمل ستسلك وركز على ما يخدمه.اذا كان وقتك ضيقا، مثل أن يكون ما يتبقى لك لتتخرج أقل من عامين فلا تلتزم كليا به، ومر سريعا، أما إذاحسب الوقت المقدر لكل مساق في المسار وبمذاكرة خمس ساعات يوميا من المفترض أن تنهه في حوالي ثلاثين شهراً، وهي مدة معقولة، لكن لدي بعض الملاحظات..عملية التعلم لا تسير بالسرعة ذاتها في كل مراحلها، المساقات المبكرة ستستغرق معك وقتا أطول رغم أنها نظريا أسهل، لكن هذا ما يحدث.لست مضطرا للالتزام بالمساق المذكور في المسار، فإن وجدته صعبا استعن بمراجع أخرى ثم اجعلها مراجعة أخيرة لترى فقط إذا كانت هناك إضافة.بعض الموضوعات لست مضطرا لدراستها إذا ضاق بك الوقت، فقط حدد أي اتجاه في العمل ستسلك وركز على ما يخدمه.اذا كان وقتك ضيقا، مثل أن يكون ما يتبقى لك لتتخرج أقل من عامين فلا تلتزم كليا به، ومر سريعا، أما إذا كان وقتك أطول من ذلك فحدد فترة للمذاكرة كل يوم ثم التزم بها، وبعد عدة أشهر ستعرف ما يجب عليك فعله.أول ثلاثة أو أربعة أشهر ستكون صعبة وغير منتظمة، وستقابلك عقبات كثيرة، لن تكون حتى مستقرا على الجزء الذي خصصته من وقت أو كم، عليك بالصبر والاستمرار.,0,سوفا
كيف أحدد المجال الذي يناسبني في البرمجة؟ أنا محتار بين مجال التطبيقات ومجال الويب، أحتاج مساعدتكم.,1,علي حسب :١- ميولك٢- قدراتك٣- شغفك منذ صغرك,1,سوفا
هل مجال برمجة الألعاب بمفردي يكون مضمون من حيث الربح بحيث لا أحتاج لوظيفة في الشركات، أم أن هذا مستحيل، مع العلم أن لدي شغف كبير؟,0,مرحبآ صديق…برمجة الالعاب تحتاج الي عدت افراد في الاساس (مبرمج-رسوم-اصوات)…. انت عندك الشغف تعلم المجال و لا ضرر في العمل لدي شركة في البداية و ثم انشاء شركتك الخاصة.نتمنا لك التوفيق.,1,سوفا
هل أستطيع تعلم البرمجة في وقت الدراسة؟ لقد بدأت بالتعلم حقاً ولكن هناك العديد من الأشخاص الذين أخبروني بأنه يجب أن أنتظر الإجازة ثم أبدأ التعلم، مع العلم بأني أرغب في الحصول على علامة كاملة في الصف الثالث الإعدادي، ماذا يجب أن أفعل؟,0,"نعم ,يمكنك فقط تخصيص ساعة في اليوم للمذاكرة وافضل سن لتعلم البرمجة هو من سنك لانك ستتعلم اسرعلدي بعض النصائح لك لكي توافق بين دراستك و البرمجة حالياً :",1,سوفا
هل يمكنني دراسة البرمجة أو الهندسة في الجامعة رغم أنني في القسم الأدبي؟ فهذا حلمي لكنني خائفة من عدم تحقيقه.,1,الدراسة في الجامعة شيء والدراسة شيء آخر ، في الجامعة هناك ارتباطات بالمرحلة والقسم الثانوي الذي كنتي فيه أما الدراسة للبرمجة وعلوم الكمبيوتر فآلاف من الدروس والكورسات المجانية وغير المجانية تتيح لكي التحرك والتقدم في المجال كل ما عليك هو أن تبدأي واستعيني بالله,0,سوفا
لدي وقت فراغ كبير، وأنا جيد جداً في اللغة الإنجليزية والتعامل مع التكنولوجيا، أريد أن أبدأ بتعلم لغات البرمجة، فمن أين أبدأ؟ وبأي لغة أبدأ رحلتي؟,1,ابدأ بتعلم بايثون لانها لغه سهلة التعامل ، هنالك تطبيقات كثيره جدا وجميلة لتعلم البرمجه مثل تطبيق كوداتي و mimo ، واذا كنت تريد التخصص في مجال معين ابدأ بتعلم لغه البرمجه المناسبه لذلك المجال .,1,سوفا
"تعلمت لغات HTML و CSS و JS، ما الخطوة التالية لكي أحترف مجال تطوير الواجهات الأمامية ""Front-end""؟",0,ادخل موقع الزيرو دوت كوم و شوف المسار الكامل من طء طء للسلام عليكو,0,سوفا
بماذا تنصحني من خلال تجربتك في البرمجة؟ هل أتعلم بايثون أم Dart؟,0,السؤال الاهم لكى تحدد ستتعلم اى منهما لماذا تريد ان تتعلمها فلكل منهما تميزها فى مجالات غير الاخرى,1,سوفا
بماذا تنصحني من ناحية التخصصات المتاحة بعد البكالوريوس لكل مجال والطلب في سوق العمل والمستقبل للتخصص بالإضافة طبعاً لكمية المنافسة: بكالوريوس هندسة البرمجيات أم علم الحاسوب؟,0,بالرغم من ان سؤالك غير واضح تماما الا انى اتفهم مخاوفك كطالب جامعة ، ونصيحتى لك استغل فرصة التعليم الجامعى وجرب العمل بجميع المجالات ثم قرر المجال المناسب لك بناء على قدرتك على تحمل عيوب هذا المجال سواء هندسة برمجيات او علوم حاسب او علوم البيانات او ادارة اعمال,0,سوفا
بدأت بتعلم البرمجة بلغة ++C لكن واجهتني صعوبات في الفهم حتى أصابني إحباط وأريد التوقف، هل من الممكن أن أنتقل للبايثون لأنها سهلة مع العلم أني أعرف بعض الأساسيات في ++C من Array functions …إلخ؟,0,لا لا تنتقل الي اي لغة آخرة اللي عايز اقلهولك انك تقدمت تقدم رائع وانت مش شايف .حاول تفهم اللي انتا مش فاهمه عشان لما تتقن لغة C++ انتا كدا ملكت اساس قوي في البرمجة ن,1,سوفا
ما هي أفضل الدورات التدريبية التي تساعدني على بناء سيرتي الذاتية ودخول سوق العمل؟,0,"canva توفر لك الكثير من الخياراتيمكنك انشاء سيره ذاتية بالغة العربية و الانكليزيه و لكافة الاختصاصاتلان الموقع يوفر الكثير من التصاميم و القوالب الجاهزة لاسما ان canva توفر تطبيق للحاسوب و تطبيق لكل من android , iosكل ما عليك انشاء حساب في canva و البدأ بالعمل.بالتوفيقما هو Canva؟Canva هي أداة تصميم رسومات تعمل على تبسيط عملية التصميم الرقمي .وتقدم لك قوالب جاهزة عبر الإنترنت لإنشاء التصاميم. حيث يمكننا من إنشاء الدعوات وبطاقات العمل والنشرات الاعلانية والشعارات والتصميمات العديدة الأخرى حيث يحتوي على العديد من القوالب للاختيار من بينها، يوجد الاف من القالب الجاهزة لتشكيل أكثر من ١٠٠ نوع من التصاميم: المنشورات، انفوجرافيك، وصور مواقع التواصل الاجتماعي، ورسائل البريد الإلكتروني، والملصقات وما إلى ذلك.حيث يغنيك حساب على موقع Canva كانفا منبرنامج فوتوشوب Photoshop.ادخل على الرابط و اطلع على المزيد من المعلومات حول Canvaa",0,سوفا
هل اللغة الإنجليزية من أساسيات تعلم البرمجة، إذا كنت ضعيفاً فيها فهل من الممكن أن أواجه الصعوبات في تعلم البرمجة؟,0,لا ليست من الاساسيات وبإمكانك تعلم البرمجة بدون ان يكون مستواك في اللغة ممتاز ولكن بسبب ان المحتوى العربي غير قوي حاليا سوف تحتاج للبحث في المواقع والمنصات الانجليزية.لذلك بإمكانك تعلم البرمجة ومتابعة الدورات والمواقع العربية وفي نفس الوقت تحسن مستواك ولو قليلا بشكل مستمر وان شاء الله ستصل لما تريد,1,سوفا
أحتاج مقدمة عن لغة الجافا، ما هي لغة الجافا؟ ما تاريخها؟ وما مواصفاتها ومميزاتها؟ ما استعمالات لغة الجافا؟ وما أسئلة المقابلات عن لغة الجافا؟,0,اعذرني لن أجيبك عما تطلب ولكني أدلك من أين تبدأ.لغه الجافا هيا أحدي لغات البرمجة اذا لم تعرف ما هي لغات البرمجه فعليك ان تبدأ ما هي البرمجه وما هي الخوارزميات وهياكل البيانات وتطبق عليها بأحدي لغات البرمجه و من الممكن ان تكون الجافا أحداها فاذا بدأت بغيرها هنا نأتي لماذا نستخدم الجافا وليس السي ولما ليست السي بلس بلس ولما السي شارب في النهايه كل واحده منهم تؤدي الغرض ما دمت متمكنا منها ولكن هناك فروق تبدأ بالبحث عنها .,1,سوفا
